slice_type,target,count,eligible_count,actual_sum,mean_bias,median_bias,normalized_mean_bias,underprediction_rate,overprediction_rate,mean_abs_error,normalized_abs_error,ficr_fail_rate,near_boundary_fail_rate,large_fail_rate,impact_proxy,month,hour,actual_bin,high_generation_flag,near_zero_flag,recommended_next_audit_route
target+actual_bin,kpx_group_1,1484,1484,14344502.139,625.1267227504089,690.6786182637879,0.0289410519791856,0.4359838274932615,0.5640161725067385,3025.2385784564253,0.14005734159520486,0.6597035040431267,0.07277628032345014,0.2634770889487871,207.845094927284,,,30-60%,,,feature sufficiency audit
target+actual_bin,kpx_group_3,1448,1448,13567917.346,720.2906331482209,900.8911162178847,0.034299553959439094,0.4219613259668508,0.5780386740331491,3002.146553926044,0.142959359710764,0.68853591160221,0.08218232044198895,0.2562154696132597,207.00515286118628,,,30-60%,,,feature sufficiency audit
target+actual_bin,kpx_group_2,1436,1436,5751202.43,1548.54624115095,477.1882812128074,0.07169195560884027,0.43175487465181056,0.5682451253481894,2973.4323083127883,0.1376589031626291,0.5494428969359332,0.09122562674094707,0.19637883008356546,197.6781849415354,,,10-30%,,,feature sufficiency audit
target+actual_bin,kpx_group_3,1507,1507,5930661.275,1148.9746141470105,318.83282634684747,0.05471307686414336,0.44525547445255476,0.5547445255474452,2495.779490218042,0.11884664239133533,0.5268745852687459,0.09688122096881222,0.17650962176509621,179.10189008374235,,,10-30%,,,feature sufficiency audit
target+actual_bin,kpx_group_1,1554,1554,6282448.682,962.611207372493,238.42512643192367,0.04456533367465246,0.46074646074646075,0.5392535392535392,2428.803975728006,0.11244462850592622,0.5218790218790219,0.09716859716859717,0.15572715572715573,174.73895269820935,,,10-30%,,,feature sufficiency audit
target+actual_bin,kpx_group_2,1125,1125,17209783.897,-38.094982312674595,566.4400319444794,-0.0017636565885497497,0.4266666666666667,0.5733333333333334,2557.8161961064116,0.11841741648640795,0.5964444444444444,0.08266666666666667,0.152,133.21959354720894,,,60-80%,,,feature sufficiency audit
target+actual_bin,kpx_group_1,1111,1111,16733410.858,-611.6704445987242,-186.35055251580525,-0.02831807613882982,0.5229522952295229,0.47704770477047703,2390.68265824072,0.11067975269632961,0.5445544554455446,0.10171017101710171,0.1395139513951395,122.9652052456222,,,60-80%,,,feature sufficiency audit
target+actual_bin,kpx_group_3,899,899,13261414.098,-1256.9631540121004,-738.6954558993075,-0.05985538828629049,0.6117908787541713,0.3882091212458287,2457.3504183360105,0.11701668658742907,0.5239154616240267,0.067853170189099,0.17797552836484984,105.19800124209874,,,60-80%,,,modeling-policy/postprocessing audit
target+actual_bin,kpx_group_3,438,438,8813067.407,-4575.509348570941,-4186.2287956263135,-0.2178813975509972,1.0,0.0,4575.509348570941,0.2178813975509972,0.9748858447488584,0.03424657534246575,0.4977168949771689,95.43205212733677,,,90-100%,,,modeling-policy/postprocessing audit
target+actual_bin,kpx_group_2,598,598,10940583.478,-776.9922966950596,-258.53735861873065,-0.03597186558773424,0.5535117056856187,0.44648829431438125,1707.5282332075813,0.07905223301886949,0.31438127090301005,0.07859531772575251,0.07525083612040134,47.27323534528396,,,80-90%,,,feature sufficiency audit
