slice_type,model_id,target,count,candidate_better_abs_error_rate,anchor_fail_candidate_success_count,anchor_fail_candidate_success_rate,candidate_norm_abs_error,anchor_norm_abs_error,actual_bin,month,hour,high_generation_flag,near_zero_flag
actual_bin,catboost_quantile_060_depth6,,3135,0.4880382775119617,144,0.045933014354066985,0.11540509683626499,0.11527362042581495,60-80%,,,,
target+actual_bin,extra_trees_wide,kpx_group_1,1554,0.6235521235521235,143,0.09202059202059203,0.09857218683196783,0.11244462850592622,10-30%,,,,
target+actual_bin,ngboost_normal_260_lr03,kpx_group_1,1554,0.5971685971685972,142,0.09137709137709138,0.10163813782662318,0.11244462850592622,10-30%,,,,
actual_bin,catboost_quantile_060_depth6,,4497,0.4231710028908161,141,0.03135423615743829,0.128142994395239,0.1226415449685317,10-30%,,,,
target+actual_bin,hist_gbdt_quantile_055,kpx_group_3,1448,0.4910220994475138,138,0.09530386740331492,0.14269794337025968,0.142959359710764,30-60%,,,,
target+actual_bin,tabm_torch,kpx_group_1,1111,0.3276327632763276,138,0.12421242124212421,0.1717327981205204,0.11067975269632961,60-80%,,,,
target+actual_bin,ngboost_normal_260_lr03,kpx_group_2,1462,0.5923392612859097,136,0.09302325581395349,0.14373028661606835,0.15649333293948497,30-60%,,,,
target+actual_bin,ngboost_normal_260_lr03,kpx_group_3,1507,0.5560716655607166,136,0.0902455209024552,0.11247786363602037,0.11884664239133533,10-30%,,,,
target+actual_bin,hist_gbdt_quantile_055,kpx_group_1,1484,0.5431266846361186,136,0.09164420485175202,0.13498408468093545,0.14005734159520486,30-60%,,,,
target+actual_bin,extra_trees_wide,kpx_group_3,1507,0.6151293961512939,125,0.08294625082946251,0.1083582366950662,0.11884664239133533,10-30%,,,,
target+actual_bin,ngboost_normal_260_lr03,kpx_group_2,1436,0.616991643454039,123,0.08565459610027855,0.12579505389659273,0.1376589031626291,10-30%,,,,
target+actual_bin,lgbm_l1_baseline,kpx_group_3,1507,0.557398805573988,123,0.08161911081619111,0.10632917876110778,0.11884664239133533,10-30%,,,,
target+actual_bin,mlp_regressor_medium,kpx_group_1,1111,0.43384338433843384,123,0.11071107110711072,0.1252510849368654,0.11067975269632961,60-80%,,,,
target+month,tabm_torch,kpx_group_3,744,0.5470430107526881,122,0.1639784946236559,0.10974685123725679,0.12191477191363255,,12.0,,,
target+actual_bin,explainable_boosting,kpx_group_1,1111,0.41674167416741675,121,0.10891089108910891,0.12613170403196308,0.11067975269632961,60-80%,,,,
target+actual_bin,lgbm_l1_baseline,kpx_group_2,1436,0.5327298050139275,120,0.08356545961002786,0.12676877146525983,0.1376589031626291,10-30%,,,,
target+actual_bin,lgbm_l1_baseline,kpx_group_1,1111,0.45454545454545453,120,0.10801080108010801,0.11953885701632935,0.11067975269632961,60-80%,,,,
target+actual_bin,hist_gbdt_quantile_055,kpx_group_1,1554,0.5302445302445302,117,0.07528957528957529,0.10556450328187338,0.11244462850592622,10-30%,,,,
target+high_generation_flag,catboost_quantile_060_depth6,kpx_group_2,7831,0.41374026305708084,116,0.01481292299833993,0.10376185099422079,0.09990926308854271,,,,False,
target+actual_bin,hist_gbdt_quantile_055,kpx_group_3,1507,0.5627073656270737,114,0.0756469807564698,0.11123871665880401,0.11884664239133533,10-30%,,,,
actual_bin,mlp_regressor_medium,,1320,0.3090909090909091,113,0.0856060606060606,0.14948861690861948,0.10485169627504616,80-90%,,,,
target+high_generation_flag,mlp_regressor_medium,kpx_group_1,840,0.4488095238095238,112,0.13333333333333333,0.10389081182171808,0.09904442536475838,,,,True,
target+actual_bin,extra_trees_wide,kpx_group_3,899,0.3559510567296997,110,0.12235817575083426,0.1378470894766402,0.11701668658742907,60-80%,,,,
target+actual_bin,lgbm_l1_baseline,kpx_group_2,1125,0.4568888888888889,108,0.096,0.1286407148084259,0.11841741648640795,60-80%,,,,
target+actual_bin,hist_gbdt_quantile_055,kpx_group_1,1111,0.45004500450045004,107,0.0963096309630963,0.11839130870970481,0.11067975269632961,60-80%,,,,
target+actual_bin,hist_gbdt_quantile_055,kpx_group_2,1436,0.5188022284122563,106,0.07381615598885793,0.13365736793574284,0.1376589031626291,10-30%,,,,
target+month,mlp_regressor_medium,kpx_group_2,744,0.5026881720430108,101,0.135752688172043,0.10979845692244855,0.10589983337131054,,7.0,,,
target+month,tabm_torch,kpx_group_2,744,0.4166666666666667,100,0.13440860215053763,0.12793306777290098,0.10589983337131054,,7.0,,,
target+month,explainable_boosting,kpx_group_2,744,0.39381720430107525,100,0.13440860215053763,0.12272006190230025,0.1073913229433887,,12.0,,,
target+month,extra_trees_wide,kpx_group_3,744,0.5618279569892473,98,0.13172043010752688,0.11046761426035086,0.12191477191363255,,12.0,,,
target+month,tabm_torch,kpx_group_3,744,0.39381720430107525,96,0.12903225806451613,0.13087768674926395,0.10618864506015195,,5.0,,,
target+month,tabm_torch,kpx_group_1,744,0.4327956989247312,95,0.12768817204301075,0.12519773580038457,0.10883549540346629,,12.0,,,
target+actual_bin,mlp_regressor_medium,kpx_group_3,899,0.35706340378198,95,0.10567296996662959,0.1498473212051994,0.11701668658742907,60-80%,,,,
target+month,mlp_regressor_medium,kpx_group_2,744,0.3951612903225806,94,0.12634408602150538,0.13208671843890446,0.1073913229433887,,12.0,,,
target+month,extra_trees_wide,kpx_group_2,744,0.4838709677419355,93,0.125,0.10195556010798869,0.10589983337131054,,7.0,,,
target+month,explainable_boosting,kpx_group_3,744,0.44086021505376344,91,0.12231182795698925,0.1301584473705301,0.12191477191363255,,12.0,,,
target+month,explainable_boosting,kpx_group_2,744,0.4529569892473118,89,0.1196236559139785,0.10904951628653119,0.10589983337131054,,7.0,,,
