experiment,month,lead_hour,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
forecast_safe_ramp,3,26.0,63,0.12738984408409323,0.12596428513273306,-0.0014255589513601688,-0.08981021393569064,2,2,0,77
forecast_safe_ramp,3,27.0,59,0.11488427655566086,0.1145781924593599,-0.00030608409630095357,-0.01805896168175626,5,1,4,77
forecast_safe_ramp,3,28.0,58,0.17339961956738048,0.17240560582558906,-0.0009940137417914269,-0.05765279702390276,3,1,2,77
forecast_safe_ramp,3,29.0,60,0.1296969843678873,0.1332584078001349,0.0035614234322476077,0.21368540593485646,4,2,2,77
forecast_safe_ramp,3,30.0,69,0.12367285247357156,0.12450736347698256,0.0008345110034110042,0.05758125923535929,6,4,2,77
forecast_safe_ramp,3,31.0,71,0.14204158961054733,0.13620923913013327,-0.005832350480414056,-0.414096884109398,6,1,5,77
forecast_safe_ramp,3,32.0,73,0.13704661273376897,0.13295202008454854,-0.004094592649220417,-0.2989052633930904,5,2,3,77
forecast_safe_ramp,3,33.0,70,0.12912060969328693,0.13306175423475972,0.003941144541472777,0.2758801179030944,4,2,2,77
forecast_safe_ramp,3,34.0,75,0.13527463600221326,0.13488553803421377,-0.0003890979679994705,-0.029182347599960287,7,5,2,77
forecast_safe_ramp,3,35.0,79,0.1351784834008897,0.1397261994155929,0.00454771601470319,0.35926956516155206,2,3,-1,77
forecast_safe_ramp,4,12.0,56,0.09683239595699684,0.09475341273115603,-0.0020789832258408087,-0.1164230606470853,7,7,0,77
forecast_safe_ramp,4,13.0,58,0.09532672991294736,0.09759022713534016,0.0022634972223927905,0.13128283889878184,6,6,0,77
forecast_safe_ramp,4,14.0,60,0.11384133972814589,0.11821789210322481,0.004376552375078923,0.2625931425047354,4,2,2,77
forecast_safe_ramp,4,15.0,68,0.10366992281452933,0.09924352780550733,-0.004426395009021995,-0.3009948606134956,3,4,-1,77
forecast_safe_ramp,4,16.0,65,0.136617069946842,0.1305550862277822,-0.006061983719059821,-0.39402894173888836,4,1,3,77
forecast_safe_ramp,4,17.0,63,0.12799670049361955,0.1274457578399345,-0.0005509426536850436,-0.03470938718215775,2,5,-3,77
forecast_safe_ramp,4,18.0,60,0.10780378241456685,0.11068579533037785,0.0028820129158109915,0.17292077494865948,6,2,4,77
forecast_safe_ramp,4,19.0,57,0.10602368098287068,0.11500675430316677,0.00898307332029608,0.5120351792568766,2,4,-2,77
forecast_safe_ramp,4,20.0,48,0.11590498165324027,0.12167847844786878,0.005773496794628512,0.27712784614216857,0,2,-2,77
forecast_safe_ramp,4,21.0,42,0.10451185949342665,0.1053295819340768,0.000817722440650165,0.03434434250730693,0,4,-4,77
