experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
lead_basic,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.13263256015741257,-0.0026938523312881753,-2.2628359582820674,44,39,5,42
lead_basic,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121253,0.10373897799086251,0.00031421180964997326,0.07038344536159401,12,8,4,42
lead_basic,kpx_group_2,high_50_80pct,1584,0.1304935135810534,0.13124171764443146,0.0007482040633780407,1.1851552363908164,49,68,-19,42
lead_basic,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.13173426244989708,-0.0003288709849830548,-0.7284492317374663,88,92,-4,42
lead_basic,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.100149446259391,0.0005418120326193598,0.5163468670862499,38,37,1,42
lead_basic,kpx_group_3,ficr_boundary_8_12pct,212,0.0792274805298642,0.07887546510461087,-0.00035201542525333283,-0.07462727015370656,7,8,-1,42
lead_basic,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.13926101821588618,-0.0022187617270114255,-3.0019846166464585,61,65,-4,42
lead_basic,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.1200706710254853,0.0007105115445639184,1.6263609255068092,106,101,5,42
lead_basic,kpx_group_3,very_high_80pct_plus,712,0.2597199103888386,0.2602249633348375,0.0005050529459989194,0.35959769755123056,5,10,-5,42
lead_interactions,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.07177758279404202,0.0009223059240220532,0.20198499736082964,5,10,-5,42
lead_interactions,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.13020352169038188,0.0034491224510384325,5.5565362686229145,60,83,-23,42
lead_interactions,kpx_group_1,mid_12_50pct,2319,0.11421912651372391,0.11448715352713443,0.00026802701341049933,0.6215546440989479,79,94,-15,42
lead_interactions,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.13510659145018408,-0.00021982103851669288,-0.18464967235402202,39,39,0,42
lead_interactions,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121253,0.10255451309328978,-0.0008702530879227616,-0.1949366916946986,9,12,-3,42
lead_interactions,kpx_group_2,high_50_80pct,1584,0.1304935135810534,0.1321279655044603,0.0016344519234068736,2.588971846676488,65,72,-7,42
lead_interactions,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.131227026646023,-0.000836106788857121,-1.851976537318523,111,95,16,42
lead_interactions,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.09874231880535095,-0.0008653154214206981,-0.8246455966139253,37,31,6,42
lead_interactions,kpx_group_3,ficr_boundary_8_12pct,212,0.0792274805298642,0.08039358977814898,0.0011661092482847764,0.2472151606363726,6,5,1,42
lead_interactions,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.14070599075499035,-0.0007737891879072631,-1.046936771238527,73,72,1,42
lead_interactions,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.11986764014321605,0.0005074806622946616,1.1616232359924805,112,119,-7,42
lead_interactions,kpx_group_3,very_high_80pct_plus,712,0.2597199103888386,0.2572271986493175,-0.002492711739521131,-1.7748107585390451,11,10,1,42
issue_cycle,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.07020253607267331,-0.000652740797346661,-0.14295023461891876,7,7,0,42
issue_cycle,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.13138701268078032,0.004632613441436853,7.46314025415477,86,111,-25,42
issue_cycle,kpx_group_1,mid_12_50pct,2319,0.11421912651372391,0.11569871561665966,0.0014795891029357451,3.431167129707993,162,200,-38,42
issue_cycle,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.1370274001042135,0.001700987615512729,1.4288295970306923,46,63,-17,42
issue_cycle,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121253,0.10157709525561683,-0.0018476709255957117,-0.4138782873334394,18,20,-2,42
issue_cycle,kpx_group_2,high_50_80pct,1584,0.1304935135810534,0.13285123702055562,0.0023577234395022197,3.734633928171516,103,116,-13,42
issue_cycle,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.1315885998315986,-0.0004745336032815337,-1.0510919312685971,173,160,13,42
issue_cycle,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.0991344063322936,-0.00047322789447803065,-0.4509861834375632,51,56,-5,42
issue_cycle,kpx_group_3,ficr_boundary_8_12pct,212,0.0792274805298642,0.07714303036071198,-0.002084450169152231,-0.44190343586027303,11,10,1,42
issue_cycle,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.1425699622640063,0.0010901823211086912,1.475016680460059,113,105,8,42
issue_cycle,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.11974385372048003,0.00038369423955864014,0.8782761143497273,170,146,24,42
issue_cycle,kpx_group_3,very_high_80pct_plus,712,0.2597199103888386,0.2618401832548869,0.0021202728660482746,1.5096342806263714,12,10,2,42
forecast_safe_ramp,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.07217639723188066,0.0013211203618606888,0.28932535924749087,5,7,-2,42
forecast_safe_ramp,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.12809186872916117,0.0013374694898177272,2.1546633480963586,72,69,3,42
forecast_safe_ramp,kpx_group_1,mid_12_50pct,2319,0.11421912651372391,0.11520545352303713,0.0009863270093131927,2.287292334597294,101,134,-33,42
forecast_safe_ramp,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.13670134555925945,0.0013749330705586887,1.1549437792692985,36,50,-14,42
forecast_safe_ramp,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121253,0.10520463890275913,0.0017798727215465996,0.3986914896264383,9,12,-3,42
forecast_safe_ramp,kpx_group_2,high_50_80pct,1584,0.1304935135810534,0.13114227865153802,0.0006487650704846067,1.027643871647617,62,79,-17,42
forecast_safe_ramp,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.1313812740696346,-0.0006818593652455251,-1.510318494018838,138,118,20,42
forecast_safe_ramp,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.1010243589479963,0.0014167247212246614,1.3501386593271023,34,50,-16,42
forecast_safe_ramp,kpx_group_3,ficr_boundary_8_12pct,212,0.0792274805298642,0.08088745457269761,0.0016599740428334196,0.35191449708068495,7,5,2,42
