target,feature_family,speed_decile,rows,settlement_weight_share,in8_rate,near_8_10_rate,lost_10_15_rate,mean_signed_error_ratio,mean_abs_error_ratio
kpx_group_1,static_corr_top,3,499,0.07419729098833451,0.3867735470941884,0.07414829659318638,0.1843687374749499,0.010010662324282152,0.1263287285616666
kpx_group_1,static_corr_top,4,499,0.09414791852354595,0.3226452905811623,0.07014028056112225,0.20040080160320642,0.03498241798280409,0.1441763933714358
kpx_group_1,static_corr_top,5,498,0.10780377398213108,0.3614457831325301,0.07228915662650602,0.18674698795180722,0.02982825966887475,0.13445248256458187
kpx_group_1,static_corr_top,6,499,0.12504773568327612,0.4088176352705411,0.09018036072144289,0.16432865731462926,0.035149833028919504,0.13199819152858228
kpx_group_1,static_corr_top,7,499,0.1346550627884092,0.44488977955911824,0.08817635270541083,0.1623246492985972,0.04862169235078457,0.12449264542083925
kpx_group_1,static_corr_top,8,499,0.14859024796232143,0.49899799599198397,0.09018036072144289,0.15430861723446893,0.049620690742571555,0.10621596579223809
kpx_group_1,static_corr_top,9,499,0.1608750929749421,0.5651302605210421,0.09218436873747494,0.16633266533066132,0.034679777669870356,0.09120135709102109
kpx_group_2,direction_conditional_top,0,498,0.04290121890452919,0.7088353413654619,0.05220883534136546,0.09236947791164658,-0.02697633128967766,0.07439854573753962
kpx_group_2,direction_conditional_top,1,498,0.05285978005605265,0.572289156626506,0.08634538152610442,0.14457831325301204,-0.018368927225379115,0.0948004978688555
kpx_group_2,direction_conditional_top,2,497,0.06371596620673217,0.49295774647887325,0.07042253521126761,0.17303822937625754,-0.005699972102174694,0.1125238229383266
kpx_group_2,direction_conditional_top,3,498,0.07770860031379306,0.41164658634538154,0.06224899598393574,0.16265060240963855,0.010250131146453971,0.13307020237954564
kpx_group_2,direction_conditional_top,4,497,0.09641508075597495,0.3118712273641851,0.06237424547283702,0.19114688128772636,0.04230238846619498,0.15096582584883472
kpx_group_2,direction_conditional_top,5,498,0.10968258809761687,0.3473895582329317,0.08634538152610442,0.18674698795180722,0.057779361079241726,0.1489097125153414
kpx_group_2,direction_conditional_top,6,497,0.1254371796148034,0.38028169014084506,0.07243460764587525,0.1851106639839034,0.056499507303959313,0.14441606041456861
kpx_group_2,direction_conditional_top,7,498,0.13355434923383466,0.44779116465863456,0.08634538152610442,0.1746987951807229,0.07094981467179276,0.12825112109857248
kpx_group_2,direction_conditional_top,8,497,0.14151474883876236,0.5090543259557344,0.06841046277665996,0.17706237424547283,0.0880174999626025,0.12723974218897371
kpx_group_2,direction_conditional_top,9,498,0.15621048797790058,0.6465863453815262,0.08634538152610442,0.10040160642570281,0.05295597148828837,0.08801112343159971
kpx_group_2,nearest_modal,0,498,0.041861766101409,0.7349397590361446,0.04417670682730924,0.08835341365461848,-0.025296548498077154,0.07223794849636295
kpx_group_2,nearest_modal,1,498,0.057800130006082695,0.5160642570281124,0.08032128514056225,0.1746987951807229,-0.015418808690893054,0.10604012836354453
kpx_group_2,nearest_modal,2,497,0.06867414309642324,0.4607645875251509,0.08048289738430583,0.14688128772635814,-0.002409026819672008,0.11811119882335316
kpx_group_2,nearest_modal,3,498,0.0818768977673153,0.41164658634538154,0.06626506024096386,0.178714859437751,0.025853813848801456,0.13314568063588858
kpx_group_2,nearest_modal,4,497,0.10075011002933436,0.3983903420523139,0.08048289738430583,0.1891348088531187,0.0530317480877995,0.1397579181946027
kpx_group_2,nearest_modal,5,498,0.11010361249526802,0.3855421686746988,0.05823293172690763,0.178714859437751,0.047219764136547986,0.13941366788004442
kpx_group_2,nearest_modal,6,497,0.12265149859998713,0.3682092555331992,0.08249496981891348,0.2012072434607646,0.03953103945148403,0.1387537164490918
kpx_group_2,nearest_modal,7,498,0.12641187971092202,0.40562248995983935,0.08032128514056225,0.15060240963855423,0.07401919041360795,0.14909926223076517
kpx_group_2,nearest_modal,8,497,0.13728799032498382,0.5191146881287726,0.07847082494969819,0.15694164989939638,0.07342868660501561,0.11399291118909842
kpx_group_2,nearest_modal,9,498,0.15258197186827432,0.6285140562248996,0.0823293172690763,0.12248995983935743,0.057714370154828484,0.09198496572018026
kpx_group_2,soft_upstream,0,498,0.042885751715306265,0.7188755020080321,0.050200803212851405,0.08835341365461848,-0.026412216161717208,0.07547249228054739
kpx_group_2,soft_upstream,1,498,0.05878793775849631,0.5160642570281124,0.06827309236947791,0.178714859437751,-0.013490296371994783,0.10494320953776894
kpx_group_2,soft_upstream,2,497,0.0730075996620122,0.44064386317907445,0.09456740442655935,0.15694164989939638,9.008183273616871e-06,0.121687351798339
kpx_group_2,soft_upstream,3,498,0.0822363150366385,0.42971887550200805,0.06626506024096386,0.1706827309236948,0.0318796427430564,0.13363445588705944
kpx_group_2,soft_upstream,4,497,0.1016411819888175,0.44466800804828976,0.06841046277665996,0.16901408450704225,0.04738151834303077,0.12844372833285475
kpx_group_2,soft_upstream,5,498,0.1070384719531396,0.35943775100401604,0.0642570281124498,0.20682730923694778,0.05605085591064392,0.14578153620488876
kpx_group_2,soft_upstream,6,497,0.12154126332544574,0.3843058350100604,0.08048289738430583,0.18108651911468812,0.03458007754131033,0.1367230428445688
kpx_group_2,soft_upstream,7,498,0.12432012833071225,0.39959839357429716,0.07228915662650602,0.15060240963855423,0.06563133562524442,0.148096886220544
