experiment_id,month,score,one_minus_nmae,ficr,avg_nmae,eligible_hours
B2_lgbm_W4_2022_2023_to_2024,1,0.6071611492652756,0.8512815236454575,0.36304077488509373,0.14871847635454252,1492
B2_lgbm_W4_2022_2023_to_2024,2,0.6059600779157037,0.8643155211441642,0.3476046346872433,0.13568447885583582,772
B2_lgbm_W4_2022_2023_to_2024,3,0.6154314471783235,0.8591872073211081,0.3716756870355389,0.1408127926788919,1587
B2_lgbm_W4_2022_2023_to_2024,4,0.6378234888338349,0.8764657213144309,0.3991812563532389,0.12353427868556906,1166
B2_lgbm_W4_2022_2023_to_2024,5,0.6374300755084102,0.8727216350668576,0.4021385159499628,0.1272783649331424,1545
B2_lgbm_W4_2022_2023_to_2024,6,0.6353781256782473,0.8764162038661154,0.3943400474903791,0.1235837961338846,970
B2_lgbm_W4_2022_2023_to_2024,7,0.6008376776127502,0.8579649864282668,0.34371036879723355,0.14203501357173323,1577
B2_lgbm_W4_2022_2023_to_2024,8,0.6235691955851883,0.8677347537140064,0.37940363745637007,0.1322652462859936,689
B2_lgbm_W4_2022_2023_to_2024,9,0.6364048341368826,0.8843365470237837,0.3884731212499817,0.11566345297621623,837
B2_lgbm_W4_2022_2023_to_2024,10,0.6540394655934899,0.8761791410747268,0.43189979011225293,0.12382085892527313,895
B2_lgbm_W4_2022_2023_to_2024,11,0.5981161829108627,0.8644656578823569,0.33176670793936847,0.1355343421176431,963
B2_lgbm_W4_2022_2023_to_2024,12,0.6322785315755153,0.8768980875806681,0.38765897557036233,0.12310191241933187,2038
B2_lgbm_W5_2022_2023_recency_to_2024,1,0.6049320707805077,0.8505473065006077,0.3593168350604077,0.14945269349939233,1492
B2_lgbm_W5_2022_2023_recency_to_2024,2,0.6130134567215174,0.8652037497742042,0.36082316366883055,0.1347962502257958,772
B2_lgbm_W5_2022_2023_recency_to_2024,3,0.6148693881701989,0.8611870387434388,0.3685517375969589,0.1388129612565612,1587
B2_lgbm_W5_2022_2023_recency_to_2024,4,0.6405034281655962,0.8764533204121255,0.4045535359190669,0.12354667958787446,1166
B2_lgbm_W5_2022_2023_recency_to_2024,5,0.6328487787429616,0.8723527072484966,0.39334485023742666,0.1276472927515034,1545
B2_lgbm_W5_2022_2023_recency_to_2024,6,0.6378952727228657,0.8761913850875438,0.39959916035818766,0.12380861491245616,970
B2_lgbm_W5_2022_2023_recency_to_2024,7,0.6015805997876188,0.8578990601633966,0.3452621394118411,0.14210093983660343,1577
B2_lgbm_W5_2022_2023_recency_to_2024,8,0.6226300758162413,0.867001168473845,0.37825898315863765,0.132998831526155,689
B2_lgbm_W5_2022_2023_recency_to_2024,9,0.6367103352122532,0.8834131852118126,0.3900074852126938,0.1165868147881874,837
B2_lgbm_W5_2022_2023_recency_to_2024,10,0.6520893899470114,0.8767552739040717,0.4274235059899511,0.12324472609592833,895
B2_lgbm_W5_2022_2023_recency_to_2024,11,0.5890343755574111,0.8613943980463709,0.3166743530684513,0.13860560195362914,963
B2_lgbm_W5_2022_2023_recency_to_2024,12,0.6239020469180236,0.8739688672269672,0.3738352266090801,0.12603113277303277,2038
