model_id,target,nmae,ficr,eligible_hours,group_score
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_wide_0.65_0.20_0.15,kpx_group_2,0.12478593021674089,0.44422280539010356,4976,0.6597184375866814
family3_catboost_quantile_060_depth6_lgbm_l1_baseline_extra_trees_wide_0.65_0.20_0.15,kpx_group_3,0.13758105108660648,0.2952532823991172,4566,0.5788361156562554
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_wide_0.65_0.20_0.15,kpx_group_1,0.11674110907350346,0.4197304560148061,4989,0.6514946734706513
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_wide_0.65_0.20_0.15,kpx_group_2,0.12466462729215524,0.4449554688761804,4976,0.6601454207920125
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_wide_0.65_0.20_0.15,kpx_group_3,0.13776912106976733,0.2978363521807643,4566,0.5800336155554985
w3_catboost_quantile_060_depth6_catboost_quantile_055_depth8_lgbm_l1_baseline_0.70_0.10_0.20,kpx_group_1,0.11787612488086471,0.4253096309976464,4989,0.6537167530583908
w3_catboost_quantile_060_depth6_catboost_quantile_055_depth8_lgbm_l1_baseline_0.70_0.10_0.20,kpx_group_2,0.12682665609445745,0.4382687594606205,4976,0.6557210516830816
w3_catboost_quantile_060_depth6_catboost_quantile_055_depth8_lgbm_l1_baseline_0.70_0.10_0.20,kpx_group_3,0.1376893431166772,0.3019537032719623,4566,0.5821321800776426
w3_catboost_quantile_0575_depth6_catboost_quantile_060_depth6_lgbm_l1_baseline_0.80_0.10_0.10,kpx_group_1,0.11801306881963385,0.42628816259488406,4989,0.6541375468876252
w3_catboost_quantile_0575_depth6_catboost_quantile_060_depth6_lgbm_l1_baseline_0.80_0.10_0.10,kpx_group_2,0.1272278262805312,0.44508156647119873,4976,0.6589268700953338
w3_catboost_quantile_0575_depth6_catboost_quantile_060_depth6_lgbm_l1_baseline_0.80_0.10_0.10,kpx_group_3,0.13854878086026806,0.29548988199328696,4566,0.5784705505665094
w3_catboost_quantile_060_depth6_hist_gbdt_quantile_055_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_1,0.11751804153356883,0.42875699295203384,4989,0.6556194757092325
w3_catboost_quantile_060_depth6_hist_gbdt_quantile_055_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_2,0.12679081786800786,0.43709337816619104,4976,0.6551512801490916
w3_catboost_quantile_060_depth6_hist_gbdt_quantile_055_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_3,0.13782548952562299,0.299136056437296,4566,0.5806552834558365
family3_catboost_quantile_060_depth6_lgbm_l1_leaf15_regularized_extra_trees_wide_0.65_0.20_0.15,kpx_group_1,0.11697023064160994,0.421629966382442,4989,0.652329867870416
family3_catboost_quantile_060_depth6_lgbm_l1_leaf15_regularized_extra_trees_wide_0.65_0.20_0.15,kpx_group_2,0.1251073602137766,0.4428827240344316,4976,0.6588876819103274
