model_id,reference_id,target,pearson,spearman,both_outside_8pct_rate,model_better_abs_error_rate,actual_weighted_boundary_gain
ebm_bins192_inter12,lgbm_l1_baseline,kpx_group_3,0.8773845645872943,0.8713032598012809,0.5402978537012703,0.43626806833114323,4301603.482
ebm_bins192_inter12,current_best_anchor,kpx_group_1,0.9086343016946464,0.8886424398001995,0.465423932651834,0.46001202645820805,5447114.5309999995
ebm_bins192_inter12,current_best_anchor,kpx_group_2,0.9064288727810671,0.874268212032176,0.4405144694533762,0.46663987138263663,6053410.091999999
ebm_bins192_inter12,current_best_anchor,kpx_group_3,0.8867479392471438,0.8829302007032188,0.5413929040735874,0.42071835304424005,3969890.9630000005
ebm_low_interaction,lgbm_l1_baseline,kpx_group_1,0.8945173594016945,0.8703770349016231,0.458608939667268,0.48246141511324914,5793781.96
ebm_low_interaction,lgbm_l1_baseline,kpx_group_2,0.9023105485096479,0.8634787583365396,0.43930868167202575,0.4845257234726688,6238393.8780000005
ebm_low_interaction,lgbm_l1_baseline,kpx_group_3,0.8754957159102855,0.8686469653782901,0.5337275514673675,0.4342969776609724,4576562.583
ebm_low_interaction,current_best_anchor,kpx_group_1,0.9121458681667983,0.8938290977726063,0.4716376027259972,0.4792543595911004,5005250.595
ebm_low_interaction,current_best_anchor,kpx_group_2,0.9192199433440776,0.8873841952760613,0.4483520900321543,0.4782958199356913,5391735.085
ebm_low_interaction,current_best_anchor,kpx_group_3,0.8834276718059452,0.8795253929306073,0.5332895313184407,0.4183092422251424,4288442.0200000005
elastic_net_stronger_l1,lgbm_l1_baseline,kpx_group_1,0.8437695002715254,0.8158201447278438,0.4263379434756464,0.46762878332331126,7225634.579
elastic_net_stronger_l1,lgbm_l1_baseline,kpx_group_2,0.8524633786946523,0.8152955411626678,0.4370980707395498,0.4316720257234727,6063534.311000001
elastic_net_stronger_l1,lgbm_l1_baseline,kpx_group_3,0.8280406700521182,0.8291004311695146,0.5116075339465616,0.4855453350854139,5446825.256999999
elastic_net_stronger_l1,current_best_anchor,kpx_group_1,0.8659202479896231,0.8440594594809879,0.4407696933253157,0.4574062938464622,6502606.857999999
elastic_net_stronger_l1,current_best_anchor,kpx_group_2,0.8667467975405689,0.8349416806813844,0.4358922829581994,0.4220257234726688,5860862.083000001
elastic_net_stronger_l1,current_best_anchor,kpx_group_3,0.8577458141450504,0.8571580066054495,0.5129215943933421,0.46758650897941306,5168438.395
