experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13711320688169384,0.0048083624605409925,7.616446137496933,104,148,-44
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.1370548611474592,0.00594810983593208,13.175063286589557,0,18,-18
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08742135685132352,-0.014355452795761545,-13.680746514360752,103,47,56
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08143064949639439,0.0002235394609668324,0.047390365724968464,0,0,0
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.14739888043820043,0.007966126691785253,10.778169413985447,131,182,-51
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.12744522729658825,0.007736612286837,17.709105524569893,0,21,-21
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.23270634327361306,-0.023557846331776558,-16.77318658822491,35,18,17
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07044284511124083,0.0,0.0,0,0,0
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.1289849679812978,0.0005147989813987709,0.8293411590334199,0,0,0
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11450728545556907,0.0,0.0,0,0,0
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.13310548022876123,-0.0016428927147150692,-1.380029880360658,13,2,11
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10299452418209623,0.0,0.0,0,0,0
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13265592847145605,0.000351084050303187,0.5561171356802482,0,1,-1
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13110675131152713,0.0,0.0,0,0,0
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.1006061054048355,-0.001170704242249562,-1.1156811428638327,22,7,15
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08120711003542756,0.0,0.0,0,0,0
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.13992837517192502,0.0004956214255098642,0.6705757887148462,0,5,-5
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.11983090954117694,0.00012229453142570713,0.27993218243344364,0,0,0
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.2563529823788889,8.879277349925126e-05,0.0632204547314669,0,1,-1
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07051091949972993,6.807438848909925e-05,0.014908291079112734,0,0,0
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.13027167333582534,0.001801504335926313,2.90222348517729,90,90,0
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.1168655991138485,0.0023583136582794283,5.468929373549995,0,5,-5
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.12457927049564978,-0.010169102447826504,-8.542046056174264,87,44,43
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10333456527637737,0.00034004109428113424,0.07616920511897407,0,0,0
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13829175717907452,0.005986912757921682,9.483269808547943,80,136,-56
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13579680027141824,0.004690048959891133,10.388458446158861,0,7,-7
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08811425477451758,-0.013662554872567493,-13.02041479355682,103,47,56
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.0811557078491857,-5.140218624185074e-05,-0.010897263483272357,0,0,0
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.14930592536761322,0.009873171621198076,13.358401203480996,98,160,-62
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.12572292756163733,0.0060143125518860715,13.766761431267218,0,9,-9
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.23169958563637985,-0.02456460396900978,-17.489998025934963,35,17,18
