experiment,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,gate,threshold,specialist,delta_score_vs_lead_base
deploy_boundary_lead_pred_0.08_0.16::B1_plus_fundamental_all,0.6114800079564364,0.8694784258864557,0.13052157411354423,0.3534815900264172,0.5732466419180064,0.6001558126986946,14531,lead_pred,,B1_plus_fundamental_all,-0.0003551009951094919
deploy_boundary_specialist_pred_0.08_0.12::B1_plus_proxy_power_curve,0.6114523408405176,0.8696945367618076,0.1303054632381924,0.3532101449192275,0.5736318262776473,0.6000642929404744,14531,specialist_pred,,B1_plus_proxy_power_curve,-0.00038276811102833097
deploy_boundary_specialist_pred_0.08_0.12::B1_plus_scada_wind_proxy,0.6114337178431308,0.8696891751254505,0.1303108248745495,0.3531782605608111,0.5733789175059762,0.6000770170957737,14531,specialist_pred,,B1_plus_scada_wind_proxy,-0.0004013911084150834
deploy_boundary_specialist_pred_0.08_0.16::B1_plus_proxy_power_curve,0.6114124339806235,0.8696439681549781,0.13035603184502184,0.35318089980626893,0.5733529904255584,0.5999208740642422,14531,specialist_pred,,B1_plus_proxy_power_curve,-0.0004226749709224098
deploy_high_specialist_pred_ge_0.80::B1_plus_fundamental_all,0.6114073346744755,0.8692619940918876,0.13073800590811238,0.35355267525706324,0.5788163040627581,0.5995583370016895,14531,specialist_pred,0.8,B1_plus_fundamental_all,-0.00042777427707041404
deploy_boundary_specialist_pred_0.08_0.16::B1_plus_scada_wind_proxy,0.6113207044780187,0.8697020001148122,0.13029799988518775,0.35293940884122516,0.5728370920894905,0.5999995966700797,14531,specialist_pred,,B1_plus_scada_wind_proxy,-0.0005144044735272413
deploy_boundary_specialist_pred_0.08_0.16::B1_plus_fundamental_all,0.6112716397878902,0.8696799455262749,0.1303200544737251,0.35286333404950554,0.573000252534148,0.5999314296970506,14531,specialist_pred,,B1_plus_fundamental_all,-0.0005634691636556832
deploy_boundary_specialist_pred_0.08_0.12::B1_plus_fundamental_all,0.6112315837933692,0.869612032093299,0.13038796790670104,0.35285113549343944,0.5728221478792599,0.6000545876114285,14531,specialist_pred,,B1_plus_fundamental_all,-0.0006035251581767431
deploy_high_lead_pred_ge_0.85::B1_plus_fundamental_all,0.6112098017249301,0.8699468095033945,0.13005319049660544,0.35247279394646563,0.5733185218195502,0.5992127339984942,14531,lead_pred,0.85,B1_plus_fundamental_all,-0.0006253072266158011
deploy_high_lead_pred_ge_0.60::B1_plus_fundamental_all,0.6111446816658948,0.8683149906601805,0.13168500933981953,0.3539743726716091,0.5729066569860028,0.5980065943662806,14531,lead_pred,0.6,B1_plus_fundamental_all,-0.0006904272856511628
